t, x, y, z
0,-0.05632,-2.8042,-0.21144
7.8125e-05,-0.09973,-2.5108,-0.04051
0.00015625,-0.076341,-2.0578,0.30275
0.00023437,0.1147,-1.7624,0.52157
0.0003125,0.015437,-1.5037,0.013285
0.00039063,-0.34269,-1.4492,-0.5328
0.00046875,-0.69175,-1.4153,-0.22435
0.00054688,-0.71851,-1.2522,0.46899
0.000625,-0.87456,-0.62037,0.14071
0.00070313,-0.67865,0.12125,-0.084293
0.00078125,-0.27627,0.74704,0.10712
0.00085937,-0.025728,0.919,0.56957
0.0009375,0.096643,0.633,0.60465
0.0010156,0.089158,0.11264,0.031248
0.0010938,-0.4602,-0.60811,-0.23875
0.0011719,-1.1685,-1.3106,0.15568
0.00125,-1.5118,-1.4855,0.69783
0.0013281,-1.7384,-0.96708,0.42858
0.0014063,-1.8209,-0.16335,-0.027973
0.0014844,-1.3477,0.58313,0.19198
0.0015625,-0.7882,0.99711,0.63253
0.0016406,-0.40921,1.0362,0.56704
0.0017187,-0.065208,0.69895,0.25307
0.0017969,0.10113,0.1684,0.14857
0.001875,0.11461,-0.4196,0.52578
0.0019531,-0.10955,-0.71785,0.5153
0.0020312,-0.30901,-0.64029,0.22631
0.0021094,-0.26729,-0.34746,0.32408
0.0021875,-0.29451,-0.26598,0.60877
0.0022656,-0.32024,-0.40575,0.71402
0.0023438,-0.089626,-0.5851,0.61092
0.0024219,0.15072,-0.51091,0.39499
0.0025,0.344,-0.32389,0.41801
0.0025781,0.51156,-0.082984,0.53448
0.0026563,0.48162,0.048368,0.48621
0.0027344,0.45075,0.025354,0.26177
0.0028125,0.38376,-0.39499,0.48855
0.0028906,0.1843,-0.91787,0.49407
0.0029687,-0.022921,-0.96016,0.037609
0.0030469,-0.069418,-0.60399,-0.55553
0.003125,-0.070167,0.091871,-0.83255
0.0032031,-0.36309,0.61775,-0.63225
0.0032812,-0.71027,1.0134,-0.58818
0.0033594,-0.6953,0.86165,-0.22247
0.0034375,-0.67051,0.43447,-0.4036
0.0035156,-0.39593,-0.075312,-0.35196
0.0035938,0.16288,-0.60437,-0.073254
0.0036719,0.50904,-0.98364,0.066144
0.00375,0.70363,-1.2468,0.042287
0.0038281,0.89542,-1.4319,0.33222
0.0039062,0.80991,-1.7196,0.39321
0.0039844,0.44177,-1.9531,0.23931
0.0040625,0.28731,-1.9079,0.22519
0.0041406,-0.019085,-1.352,-0.093368
0.0042188,-0.25896,-0.67407,0.059501
0.0042969,-0.55188,0.10403,0.0069231
0.004375,-0.41819,0.70326,0.15221
0.0044531,-0.33418,1.01,0.17626
0.0045312,-0.3629,0.88382,0.22818
0.0046094,-0.13706,0.6808,0.34653
0.0046875,0.37703,0.6112,0.5197
